Date,Ticker,Open,High,Low,Close,Volume,Daily Return,Volatility_5d,MA_5,MA_10,Delta_Close,Range,Weekday,Volume_Change,Price_to_Volume,Momentum_3d,Rolling_Return_5d,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Lag_6,Lag_7,Lag_8,Lag_9,Lag_10,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_4,Return_Lag_5,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,Target
2019-06-17,^GSPC,-0.8731455491443312,-0.8795406272130215,-0.8628593629664137,-0.8754380359178164,-1.6206065139253596,-0.047871131122677144,-1.0709929818501176,-0.8731649659370417,-0.8873212433036456,-0.10263351977735996,-1.129303140378364,-1.4317569567148014,-0.3609075379499949,0.12457744724732123,0.02502784160553019,-0.18141205825631856,-0.8742917375336319,-0.8677080417362225,-0.8766084338664203,-0.8697729155580111,-0.8670420641140238,-0.8773517641858692,-0.9032890644075006,-0.9169110717567267,-0.9367669078154777,-0.9898239044018351,-0.26208349780335,0.32678962317861127,-0.27515758267175433,-0.12261908714391023,0.39880672885941554,0.6182534103314082,-0.25923266122274746,-0.5705026772869453,0.8170116934656619,-0.9058159264924222,-0.8950690404579316,-0.9143146955800284,0
2019-06-18,^GSPC,-0.8573289832169346,-0.8484472082733518,-0.8458476023017039,-0.8492570756597814,-0.7197680405256447,1.1443030219573962,-0.6066961074636,-0.8671785787332124,-0.8765935852063429,0.32408669936752776,-0.5112445838112488,-0.7106615501750391,1.4136993466831234,-0.4991096962488369,0.40236765408983627,0.3372225093293461,-0.871781574427136,-0.8720601610891925,-0.8655763241851331,-0.8752760612249386,-0.8679887095379024,-0.8647949827762698,-0.875270271114149,-0.9006360815206291,-0.91527567182576,-0.9345373965897269,0.0053817426467829554,-0.25360818314635597,0.3521332451432542,-0.2930828795228677,-0.12065353686388935,1.1908838734873752,-0.15443833815143965,-0.483056714905279,0.8797889966238451,-0.9021691314537984,-0.8854697042868591,-0.9170814245529056,0
2019-06-19,^GSPC,-0.8444219568759117,-0.8475660265147373,-0.8402301335205481,-0.8411361886687049,-0.9273984235716827,0.23076815963078068,-0.7275568339055174,-0.8584653612439237,-0.8671937581980924,0.12722466448363548,-0.71378122590169,0.010433856364723224,-0.27030770923064873,-0.35940749877722455,0.7145001915035329,0.5990262753434488,-0.845578187255532,-0.8695478935232563,-0.8699330625259162,-0.8642322962202076,-0.8734997098735784,-0.8657421503337775,-0.8627018488367058,-0.8726194964279617,-0.8989880044459135,-0.9130320013201244,0.9293356835865523,0.004953849543516,-0.23159282878864296,0.32657073580538165,-0.2956446939667208,1.207540156523893,-0.05650934588702599,-0.39248252007434886,0.9141393719721572,-0.8992477514145587,-0.876611501475098,-0.9205542162977286,0
2019-06-20,^GSPC,-0.8173303843081828,-0.8231513357280619,-0.8214082359826441,-0.815290980970145,0.017075928518007585,1.111028468287882,-0.5582607874766418,-0.8467766772873574,-0.8568212560247466,0.07618462422058664,-0.4626216619840725,0.7315292629044855,1.2700613931533187,-0.8527965367139537,1.2956194725333108,0.8788704089613195,-0.8374503438186698,-0.8433225380718397,-0.8674181286421865,-0.8685936374153848,-0.8624401820449831,-0.8712561903277385,-0.8636498944737152,-0.8600520646856347,-0.8709495962816852,-0.8967336029780748,0.2213316272564921,0.898151816797679,0.02845191735811246,-0.25004852281373957,0.3404663630264505,2.1304157634364245,0.07761657017693437,-0.2917850404315199,1.0253007510213508,-0.8946417491989811,-0.8624166506541504,-0.9262753694407584,1
2019-06-21,^GSPC,-0.8144301796559231,-0.8175023514600381,-0.8069939965456584,-0.8187593618167375,1.5751559498360257,-0.3451764006967366,-0.5778234671804117,-0.8349123190235783,-0.8495945284592216,-0.18590148561032216,-0.8355543707198724,1.452624669444248,1.7544201809466975,-1.4251013748863324,0.5489154396669291,0.8974162975501487,-0.8115829968160694,-0.8351878804495546,-0.8411649397176038,-0.8660760465269025,-0.866807748205382,-0.8601905624840197,-0.8691690463039631,-0.861000035605828,-0.858372375339092,-0.8686767219968846,0.9035473749602247,0.21371533582060862,0.9267718920158031,0.006830200661672381,-0.25146738352084613,2.2270213430467294,0.1679671262598285,-0.19220515356118872,1.0130287310086132,-0.8886098627799616,-0.8497503014285415,-0.9273983807236742,1
2019-06-24,^GSPC,-0.8156332477500149,-0.8260641498579255,-0.8096386829891526,-0.8235236337284774,-1.1672635264311233,-0.40931485640051013,-0.46747652132128964,-0.8245057381018318,-0.8441013708587715,-0.33248233545534084,-1.0931400875424133,-1.4317569567148014,-2.438572855971542,-0.1722510233826127,0.22938770093494296,0.757498918994353,-0.8150543487178372,-0.8092988468950117,-0.8330216486270302,-0.8397951213472258,-0.864286563946186,-0.8645605376278801,-0.858093159978621,-0.8665187524639227,-0.8593210846660956,-0.8560912146815771,-0.22503457259995646,0.8732219325000586,0.2384105378848159,0.8942132060168498,0.012233807381495553,1.927596263135874,0.21986975958480276,-0.10161395255222115,0.9143261127621405,-0.8829980695265427,-0.8395080131898597,-0.9267850506547706,1
2019-06-25,^GSPC,-0.8208929139198886,-0.8338559616253095,-0.8359348934824603,-0.8496021610022657,-0.5171770872407723,-1.4629247620420915,-0.19818561782534433,-0.8245749127121522,-0.8411345926403497,-1.1893797808774704,-0.30389077977223133,-0.7106615501750391,0.9191012616343706,-0.6166419546621595,-1.0412617569609741,-0.24033279800256918,-0.8198227017600371,-0.8127731090934296,-0.8071051385442065,-0.8316432269437503,-0.8379681278638033,-0.8620379627792892,-0.8624671863440063,-0.8554437390448298,-0.8648441002405584,-0.8570405490559673,-0.2747428964720913,-0.21779251830167318,0.9016990483109486,0.2142325928373658,0.9231849057548017,0.9968655459509523,0.189719241288653,-0.035488714039179185,0.6456712066375743,-0.8775885646216959,-0.8350709663453822,-0.9203480522258445,1
2019-06-26,^GSPC,-0.8392740822340847,-0.8467774696184392,-0.8387670960022442,-0.8529585484527484,-0.6172016872816318,-0.34174478961693333,-0.23720496619062384,-0.826944781931294,-0.8379541580721578,-0.571175093499019,-0.7423113826154569,0.010433856364723224,-0.1263403656899412,-0.56363123309971,-1.0395816905733797,-0.456716822273817,-0.8459235682021147,-0.8175454598063578,-0.810583088043788,-0.8056993363039638,-0.8298045982185793,-0.8357050104480559,-0.8599422729215819,-0.8598174206870178,-0.8537604601166198,-0.8625672034124604,-1.09130734053057,-0.265846184042893,-0.19557178047106594,0.869445622052024,0.22514462020698792,0.7354151195313102,0.1503554192039306,0.009124036781828085,0.4094477037865442,-0.8714371864648384,-0.8335099191806206,-0.9092811163192295,1
2019-06-27,^GSPC,-0.8452520829680877,-0.8498293342751057,-0.8335340466253501,-0.8425720714789894,-1.129739609200754,0.34448270369067857,-0.6212954755111705,-0.8324134546702837,-0.8348355623639541,0.10228549649901066,-1.0987617449691631,0.7315292629044855,-0.6509831980092907,-0.22262681630493994,-0.6703493879399657,-0.7433638145857734,-0.8492828307729335,-0.8436682085773723,-0.8153605037441385,-0.809180960225529,-0.803823677727258,-0.8275369781102152,-0.8335849084095498,-0.8572927062565874,-0.8581375485682794,-0.8514762609461747,-0.2223750194023257,-1.0552293656582241,-0.24390100800341905,-0.214466027696367,0.8977595170774734,0.5063329508772956,0.13732358347813844,0.04207058728451235,0.2813439370996042,-0.8650364881767821,-0.8316772936849045,-0.8979896379247794,0
2019-06-28,^GSPC,-0.8328673575748026,-0.8362121207146503,-0.8237058230712481,-0.8268709160248049,2.1909213746762815,0.6069555960836661,-0.39661329594297234,-0.8340394686800284,-0.8297022506490946,0.23889817401659105,-0.9299844802006173,1.452624669444248,4.665501634366561,-1.5943496816054827,0.35717316595330767,-0.3855056771845333,-0.8388874566227882,-0.8470302874718839,-0.8415109770898795,-0.813963423222074,-0.8073102709889544,-0.8015417275308127,-0.8254093038299152,-0.8309374190056897,-0.8556108675518606,-0.8558562331975608,0.3094622085602916,-0.21522149456913525,-1.0378108753577286,-0.262206850993206,-0.21493984939587196,0.5526321962172248,0.15787195037862,0.07275396647475638,0.2564925920283171,-0.8561123825722694,-0.8354225180587341,-0.8754713848526048,0
2019-07-01,^GSPC,-0.7969909289619499,-0.804719893993711,-0.8019768539574592,-0.8058273113700215,-0.5973525047529594,0.8667921034684993,-0.21074445874150605,-0.8304921253056612,-0.8227060175395005,-0.37124016338636745,-0.4967832870450547,-1.4317569567148014,-2.2878522407976267,-0.5235949346951619,0.9613102756624586,0.09771651901367838,-0.8231728513771204,-0.8366261980939479,-0.8448766242232607,-0.840141524304835,-0.8120995600200828,-0.8050302438648097,-0.79938995413891,-0.8227624587570024,-0.8292350512708268,-0.8533278875033306,0.5128828771679864,0.29891228405096737,-0.19298601330753568,-1.046450933222872,-0.26394862594111873,0.8375812455803273,0.2173635314901015,0.10982569616398614,0.3266415470870711,-0.8457685028762455,-0.8434553967879785,-0.8454005270878466,1
2019-07-02,^GSPC,-0.8032858620931852,-0.8090981738547478,-0.7985070051953473,-0.7977344227279723,-1.0386625681235964,0.22302840014690964,-0.8987140585380181,-0.8200948984704023,-0.817527727948675,0.2208636517136599,-0.8351423120603201,-0.7106615501750391,-0.5586686876195324,-0.2329098317479557,0.900363517279115,0.7472006795572915,-0.8021112205270362,-0.8208984181070559,-0.8344614927855496,-0.8435107272137724,-0.8383150252441756,-0.8098221744857035,-0.8028817045307671,-0.7967451596877063,-0.8210537232673998,-0.8269346937869043,0.714260305438835,0.4955616186628969,0.3240960445485703,-0.21191174202817112,-1.0690215243272398,1.0698663443564458,0.27549442584373385,0.15172163483644777,0.37961503675588204,-0.837783379059381,-0.8425360281881032,-0.8298440280033812,1
2019-07-03,^GSPC,-0.7907704476223057,-0.7881063001073166,-0.7778376507348778,-0.7764670589098235,-2.8912333478462835,0.8668026389947321,-1.1276855606183995,-0.8047616798993746,-0.8110281503372236,0.5811887230347174,-0.8114293172951293,0.010433856364723224,-2.5560870111286853,1.9327240470021714,1.0303900655387743,1.2147127086596856,-0.7940113994229112,-0.7998191297000767,-0.8187170206038449,-0.833084592284515,-0.8416890370341416,-0.8360520991638358,-0.8076780775504934,-0.8002366348897819,-0.7950161584384641,-0.8187479755996327,0.21533319048567892,0.6902357269841886,0.5218730567691687,0.2988748857437851,-0.2123177242019475,1.1587865759396176,0.3636295382803271,0.20379386175709835,0.49135843391301554,-0.8298015400019382,-0.836049389791113,-0.8202812358293178,1
2019-07-05,^GSPC,-0.7850164853070358,-0.7897853238951265,-0.7872063568712591,-0.7815113143118376,-2.1990684047609528,-0.4193583104848163,-0.7730031980074137,-0.7925216523963019,-0.8076331214269347,0.1368180934904934,-0.4827144270974819,1.452624669444248,1.5648653691617636,0.8656942206420881,0.3868048629485934,0.9180969632545877,-0.7727258177347726,-0.7917125179037682,-0.7976153603434385,-0.8173234862112856,-0.8312480208276743,-0.8394279719304426,-0.8339323188967884,-0.8050326299005742,-0.7985103532693929,-0.7926932561887964,0.7142684706393282,0.20791657108462677,0.7176635158443276,0.4942439796586331,0.31203493614342653,1.1399286763300511,0.4108922709146364,0.25540207594215875,0.4862632205960923,-0.8228899467721047,-0.8311693731985575,-0.8112082710484281,1
